2023-02-01 20:03:14,538: 'j'
2023-02-01 20:03:14,713: 'j'
2023-02-01 20:03:14,894: 'j'
2023-02-01 20:03:15,097: 'j'
2023-02-01 20:03:15,288: 'j'
2023-02-01 20:03:15,871: 'h'
2023-02-01 20:03:16,043: 'h'
2023-02-01 20:03:16,234: 'h'
2023-02-01 20:03:16,397: 'h'
2023-02-01 20:03:16,577: 'h'
2023-02-01 20:03:17,111: 'l'
2023-02-01 20:03:17,263: 'l'
2023-02-01 20:03:17,413: 'l'
2023-02-01 20:03:17,565: 'l'
2023-02-01 20:03:18,222: Key.ctrl_r
2023-02-01 20:03:18,391: Key.ctrl_r
2023-02-01 20:03:18,533: Key.ctrl_r
2023-02-01 20:03:18,678: Key.ctrl_r
2023-02-01 20:03:18,820: Key.ctrl_r
2023-02-01 20:03:19,198: Key.ctrl_l
2023-02-01 20:03:19,201: Key.alt_gr
2023-02-01 20:03:19,356: Key.ctrl_l
2023-02-01 20:03:19,357: Key.alt_gr
2023-02-01 20:03:19,498: Key.ctrl_l
2023-02-01 20:03:19,500: Key.alt_gr
2023-02-01 20:03:19,657: Key.ctrl_l
2023-02-01 20:03:19,659: Key.alt_gr
2023-02-01 20:03:19,849: Key.ctrl_l
2023-02-01 20:03:19,852: Key.alt_gr
